City,id,Country,Lat,Lng
punta arenas,3874787,CL,-53.150002,-70.91667199999999
chokurdakh,2126123,RU,70.63333100000001,147.916672
marienburg,3383570,SR,5.84691,-55.021591
bernardino de campos,3470059,BR,-23.01306,-49.474171000000005
yantal,2055868,RU,56.847099,105.254204
cidreira,3466165,BR,-30.181109999999997,-50.205559
ahipara,2194098,NZ,-35.166672,173.166672
hermanus,3366880,ZA,-34.418701,19.234461
hithadhoo,1282256,MV,-0.6,73.08332800000001
vaini,4032243,TO,-21.200001,-175.199997
torbay,6167817,CA,47.666592,-52.73135
khon buri,1609795,TH,14.52541,102.24591099999999
upernavik,3418910,GL,72.78684200000001,-56.15485
arlit,2447513,NE,18.73694,7.385280000000001
buin,3897774,CL,-33.73333,-70.75
bathsheba,3374083,BB,13.21667,-59.51667
mandan,5690366,US,46.82666,-100.88958000000001
rikitea,4030556,PF,-23.120279,-134.969177
tuktoyaktuk,6170031,CA,69.45414,-133.03741499999998
bengkulu,1649150,ID,-3.80044,102.265541
los llanos de aridane,2514651,ES,28.658509999999996,-17.918209
puerto ayora,3652764,EC,-0.73931,-90.351761
morondava,1058381,MG,-20.283331,44.283328999999995
arraial do cabo,3471451,BR,-22.96611,-42.027778999999995
lambarene,2399888,GA,-0.7001,10.24055
kavieng,2094342,PG,-2.57444,150.79669199999998
ushuaia,3833367,AR,-54.799999,-68.300003
qaanaaq,3831208,GL,77.483971,-69.363213
kousseri,2229798,CM,12.076889999999999,15.030629999999999
nefteyugansk,1497917,RU,61.099789,72.603493
cape town,3369157,ZA,-33.925838,18.42322
parksville,6098642,CA,49.31633,-124.31945
yellowknife,6185377,CA,62.456001,-114.352547
khatanga,2022572,RU,71.966667,102.5
norman wells,6089245,CA,65.282013,-126.832901
hilo,5855927,US,19.729719,-155.08999599999999
bluff,2206939,NZ,-46.599998,168.333328
atuona,4020109,PF,-9.8,-139.033325
manicore,3663503,BR,-5.80917,-61.300281999999996
cedar city,5536630,US,37.677479,-113.06188999999999
ukiah,5404476,US,39.150169,-123.207779
codrington,2171099,AU,-38.26667,141.966675
provideniya,4031574,RU,64.38333100000001,-173.300003
tanout,2439155,NE,14.970889999999999,8.88786
nelson bay,2155562,AU,-32.716671000000005,152.149994
arua,235039,UG,3.02013,30.911051
new norfolk,2155415,AU,-42.782612,147.058701
isangel,2136825,VU,-19.549999,169.266663
goksun,314188,TR,38.020962,36.497299
traverse city,5012495,US,44.763062,-85.620628
kodiak,5866583,US,57.790001000000004,-152.407227
lompoc,5367788,US,34.639148999999996,-120.457939
bambous virieux,1106677,MU,-20.342779,57.7575
berlevag,780687,NO,70.85778,29.086361
zyryanka,2119283,RU,65.75,150.850006
lavrentiya,4031637,RU,65.58332800000001,-171.0
kununurra,2068110,AU,-15.766670000000001,128.733337
avarua,4035715,CK,-21.207781,-159.774994
thinadhoo,1337610,MV,0.53333,72.933327
santa vitoria,3449749,BR,-18.83861,-50.121390999999996
sitka,5557293,US,57.053059,-135.330002
axim,2303611,GH,4.86992,-2.2404599999999997
port alfred,964432,ZA,-33.590569,26.891040999999998
iqaluit,5983720,CA,63.750591,-68.514488
manggar,1636426,ID,-2.88333,108.26666999999999
kaeo,2189343,NZ,-35.099998,173.783325
totness,3382867,SR,5.88333,-56.316669
seoul,1835848,KR,37.568259999999995,126.977829
keti bandar,1174451,PK,24.14472,67.449722
narsaq,3421719,GL,60.916672,-46.049999
sao felix do xingu,3388847,BR,-6.6447199999999995,-51.994999
bredasdorp,1015776,ZA,-34.53215,20.04031
klaksvik,2618795,FO,62.226551,-6.589010000000001
nanortalik,3421765,GL,60.14316899999999,-45.237148
fallon,5503914,US,39.47353,-118.777367
mahebourg,934322,MU,-20.40806,57.700001
tieli,2034440,CN,46.950001,128.050003
severo-kurilsk,2121385,RU,50.67889,156.125
tilichiki,2120591,RU,60.466671,166.100006
capitao poco,3403127,BR,-1.74639,-47.059441
bandarbeyla,64814,SO,9.4942,50.812199
ankang,1789065,CN,32.68,109.01722
seybaplaya,3516685,MX,19.65,-90.66667199999999
ancud,3899695,CL,-41.86972,-73.82028199999999
najran,103630,SA,17.492399,44.127659
bali chak,1277581,IN,22.366671,87.550003
tabou,2281120,CI,4.42295,-7.3528
derzhavinsk,1524606,KZ,51.099998,66.316673
baykit,1510689,RU,61.669998,96.370003
north platte,5697939,US,41.12389,-100.765419
faanui,4034551,PF,-16.48333,-151.75
chernyshevskiy,2025456,RU,63.012779,112.47138999999999
ketchikan,5554428,US,55.34222,-131.646103
pevek,2122090,RU,69.700829,170.313324
paamiut,3421193,GL,61.994018999999994,-49.667759000000004
pisco,3932145,PE,-13.7,-76.216667
lasa,3175096,IT,46.616611,10.70016
bernay,3033308,FR,49.088879,0.59858
panguna,2088659,PG,-6.3164,155.484833
alugan,1731248,PH,12.2188,125.480797
broken hill,2173911,AU,-31.950001,141.433334
ostrovnoy,556268,RU,68.053062,39.513062
bubaque,2374583,GW,11.28333,-15.833329999999998
malyn,702116,UA,50.772331,29.238331
arman,2127060,RU,59.700001,150.166672
atar,2381334,MR,20.516859,-13.04986
leningradskiy,2123814,RU,69.38333100000001,178.416672
ilulissat,3423146,GL,69.216667,-51.099998
prachuap khiri khan,1151074,TH,11.82098,99.784103
guerrero negro,4021858,MX,27.976940000000003,-114.06111100000001
lufilufi,4035249,WS,-13.87449,-171.598572
east london,1006984,ZA,-33.015289,27.911619
nianzishan,2035593,CN,47.51667,122.88333100000001
teguldet,1489822,RU,57.306389,88.16667199999999
mar del plata,3430863,AR,-38.002280999999996,-57.557541
buala,2109528,SB,-8.144969999999999,159.592117
yulara,6355222,AU,-25.240601,130.988907
marilia,3457692,BR,-22.21389,-49.945831
lower hutt,2188164,NZ,-41.216671000000005,174.916672
bam,141736,IR,29.106001000000003,58.356998
daud khel,1180419,PK,32.874981,71.570122
urengoy,1488414,RU,65.966667,78.36666899999999
kahului,5847411,US,20.89472,-156.470001
baruun-urt,2032614,MN,46.680561,113.27916699999999
batagay-alyta,2027042,RU,67.80056,130.411392
caibarien,3566356,CU,22.520559,-79.466942
dzilam gonzalez,3529654,MX,21.283331,-88.933327
villa carlos paz,3832791,AR,-31.424141,-64.49778
xixiang,1788206,CN,35.162781,112.864998
yining,1786538,CN,29.036140000000003,114.563622
macae,3458266,BR,-22.370831,-41.786941999999996
pagudpud,1696482,PH,18.5616,120.78679699999999
lakes entrance,2160735,AU,-37.881149,147.981033
port hardy,6111862,CA,50.699619,-127.419853
hay river,5972762,CA,60.815552000000004,-115.799927
lebu,3883457,CL,-37.616669,-73.650002
sampit,1628884,ID,-2.53333,112.949997
comodoro rivadavia,3860443,AR,-45.866669,-67.5
ulaanbaatar,2028462,MN,47.907711,106.88323999999999
humberto de campos,3398428,BR,-2.59833,-43.461109
ippy,238566,CF,6.267930000000001,21.22468
tikrit,90150,IQ,34.607121,43.678219
olavarria,3842670,AR,-36.892719,-60.322540000000004
yar-sale,1486321,RU,66.83332800000001,70.83332800000001
dikson,1507390,RU,73.506943,80.546387
shahr-e babak,115781,IR,30.116501,55.118598999999996
keita,2442478,NE,14.7551,5.7749
beitbridge,895269,ZW,-22.216669,30.0
talnakh,1490256,RU,69.48650400000001,88.39720200000001
alihe,2038665,CN,50.566669,123.71666699999999
kapaa,5848280,US,22.075211,-159.318954
yamada,2110560,JP,39.466671000000005,141.949997
san policarpo,1688696,PH,12.1791,125.507202
pangai,4032369,TO,-19.799999,-174.350006
ikom,2338242,NG,5.96669,8.70632
wasilla,5877641,US,61.58139,-149.439438
